dst_host_srv_count,dst_host_diff_srv_rate,flag,srv_serror_rate,serror_rate,Malicious
60,0.0,2,0.0,0.0,1
19,0.05,4,1.0,1.0,1
63,0.0,2,0.0,0.0,1
2,0.74,5,0.0,0.0,1
1,1.0,6,1.0,1.0,1
46,0.02,2,0.0,0.0,1
1,0.38,5,0.0,0.0,1
22,0.05,4,1.0,1.0,1
11,0.07,1,0.0,0.0,1
111,0.0,2,0.0,0.0,1
4,0.07,4,1.0,1.0,1
14,0.07,1,0.0,0.0,1
10,0.05,4,1.0,1.0,1
10,0.07,4,1.0,1.0,1
26,0.04,4,1.0,1.0,1
25,0.05,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
2,0.5,5,0.0,0.0,1
30,0.06,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
112,0.0,2,0.0,0.0,1
5,0.06,4,1.0,1.0,1
2,0.08,1,0.0,0.0,1
52,0.04,4,1.0,0.97,1
42,0.0,2,0.14,0.0,1
61,0.0,2,0.0,0.0,1
1,0.16,5,0.0,0.0,1
13,0.07,4,1.0,1.0,1
9,0.06,3,0.0,0.0,1
19,0.07,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
11,0.0,2,0.0,0.0,1
1,0.47,1,0.0,0.17,1
17,0.06,4,1.0,1.0,1
7,0.05,4,1.0,1.0,1
14,0.07,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
3,0.07,4,1.0,1.0,1
1,0.6,1,0.0,0.0,1
1,0.64,5,0.0,0.0,1
7,0.07,4,1.0,1.0,1
8,0.07,4,1.0,1.0,1
6,0.09,1,0.0,0.0,1
2,0.07,4,1.0,1.0,1
12,0.08,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
19,0.07,4,1.0,1.0,1
2,1.0,1,0.0,0.0,1
1,0.53,1,0.0,0.0,1
3,0.05,4,1.0,1.0,1
1,1.0,1,0.0,0.08,1
13,0.08,4,0.43,1.0,1
3,0.07,1,0.0,0.0,1
18,0.07,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
251,0.0,2,0.0,0.0,1
62,0.03,4,1.0,1.0,1
10,0.07,4,1.0,1.0,1
12,0.08,4,1.0,1.0,1
6,0.07,4,1.0,1.0,1
3,0.08,4,1.0,1.0,1
8,0.07,4,1.0,1.0,1
12,0.1,4,1.0,1.0,1
4,0.06,4,1.0,1.0,1
8,0.05,4,1.0,1.0,1
1,0.06,4,1.0,1.0,1
8,0.08,4,1.0,1.0,1
1,0.08,4,1.0,1.0,1
16,0.05,4,1.0,1.0,1
2,0.82,5,0.0,0.0,1
11,0.07,4,1.0,1.0,1
200,0.0,2,0.0,0.0,1
19,0.07,4,1.0,1.0,1
41,0.0,2,0.0,0.0,1
2,0.09,4,1.0,1.0,1
75,0.01,4,1.0,1.0,1
4,0.06,3,0.0,0.0,1
14,0.07,4,1.0,1.0,1
11,0.08,4,1.0,1.0,1
9,0.06,4,1.0,1.0,1
9,0.08,4,1.0,1.0,1
3,0.08,3,0.0,0.0,1
5,0.07,4,1.0,1.0,1
24,0.2,2,0.0,0.0,1
21,0.02,2,0.0,0.0,1
255,0.0,2,0.0,0.0,1
2,1.0,1,0.0,0.0,1
153,0.0,2,0.0,0.0,1
64,0.02,4,1.0,1.0,1
10,0.06,3,0.0,0.0,1
6,0.07,4,1.0,1.0,1
1,0.08,4,1.0,1.0,1
200,0.01,2,0.0,0.0,1
68,0.02,2,0.0,0.0,1
7,0.06,4,1.0,1.0,1
18,0.04,4,1.0,1.0,1
16,0.08,4,1.0,1.0,1
15,0.09,4,1.0,1.0,1
13,0.07,1,0.0,0.0,1
8,0.07,4,1.0,1.0,1
13,0.09,4,1.0,1.0,1
58,0.02,4,1.0,1.0,1
15,0.06,4,1.0,1.0,1
79,0.0,2,0.0,0.0,1
2,0.08,4,1.0,1.0,1
4,0.08,4,1.0,1.0,1
1,0.07,1,0.0,0.0,1
21,0.05,4,1.0,1.0,1
6,0.06,4,1.0,1.0,1
35,0.0,2,0.0,0.0,1
1,0.07,1,0.0,0.0,1
18,0.07,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
2,0.08,5,0.0,0.0,1
4,0.99,1,0.0,0.07,1
1,0.08,4,1.0,1.0,1
8,0.06,4,1.0,1.0,1
20,0.05,4,1.0,1.0,1
20,0.07,4,1.0,1.0,1
123,0.02,2,0.0,0.0,1
59,0.0,2,0.0,0.0,1
1,1.0,5,0.0,0.0,1
14,0.08,4,1.0,1.0,1
17,0.05,4,1.0,1.0,1
17,0.08,4,1.0,1.0,1
14,0.07,4,1.0,1.0,1
14,0.05,4,1.0,1.0,1
1,0.82,5,0.0,0.0,1
14,0.07,1,0.0,0.0,1
2,0.73,2,0.0,0.0,1
1,0.08,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
12,0.08,4,1.0,1.0,1
58,0.04,4,1.0,1.0,1
141,0.07,4,0.78,1.0,1
4,0.07,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
15,0.07,4,1.0,1.0,1
17,0.0,2,0.0,0.0,1
28,0.0,2,0.0,0.0,1
9,0.08,4,1.0,1.0,1
1,1.0,1,0.0,0.0,1
7,0.05,4,1.0,1.0,1
7,0.07,1,0.0,0.0,1
15,0.07,4,1.0,1.0,1
16,0.07,3,0.0,0.0,1
2,0.08,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
6,0.06,4,1.0,1.0,1
225,0.0,2,0.0,0.0,1
2,0.05,4,1.0,1.0,1
13,0.05,4,1.0,1.0,1
17,0.07,4,1.0,1.0,1
17,0.05,4,1.0,1.0,1
65,0.02,2,0.0,0.0,1
20,0.07,1,0.0,0.0,1
255,0.0,2,0.0,0.0,1
12,0.07,4,1.0,1.0,1
2,0.28,5,0.0,0.0,1
18,0.05,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
22,0.05,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
1,0.06,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
33,0.0,2,0.0,0.0,1
2,0.68,5,0.0,0.0,1
11,0.1,4,1.0,1.0,1
68,0.0,2,0.0,0.0,1
12,0.07,1,0.0,0.0,1
1,0.08,1,0.0,0.0,1
6,0.05,4,1.0,1.0,1
2,1.0,1,0.0,0.0,1
214,0.0,2,0.0,0.0,1
1,0.7,5,0.0,0.0,1
1,0.51,1,0.0,0.0,1
11,0.07,4,1.0,1.0,1
23,0.05,4,1.0,1.0,1
4,0.05,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
16,0.07,3,0.0,0.0,1
1,1.0,1,0.0,0.0,1
5,0.08,4,1.0,1.0,1
11,0.06,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
1,0.17,5,0.0,0.0,1
15,0.05,4,1.0,1.0,1
1,0.07,4,1.0,1.0,1
6,0.08,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
1,0.32,4,1.0,0.65,1
255,0.0,2,0.0,0.0,1
9,0.05,4,1.0,1.0,1
1,1.0,1,0.0,0.21,1
8,0.06,2,0.0,0.0,1
16,0.08,4,1.0,1.0,1
88,0.02,2,0.0,0.0,1
17,0.07,1,0.0,0.0,1
12,0.06,4,1.0,1.0,1
15,0.07,1,0.0,0.0,1
4,0.0,2,0.0,0.0,1
73,0.02,4,1.0,1.0,1
17,0.05,4,1.0,1.0,1
6,0.07,4,1.0,1.0,1
13,0.07,4,1.0,1.0,1
4,0.0,3,0.0,0.0,1
14,0.06,4,1.0,1.0,1
1,0.48,1,0.0,0.0,1
2,0.06,4,1.0,1.0,1
5,0.1,4,1.0,1.0,1
66,0.01,2,0.0,0.0,1
1,0.06,1,0.0,0.0,1
16,0.07,4,1.0,1.0,1
1,0.59,1,0.0,0.09,1
27,0.06,1,0.0,0.0,1
20,0.07,4,1.0,1.0,1
3,0.06,4,1.0,1.0,1
37,0.05,4,1.0,1.0,1
22,0.0,2,0.0,0.0,1
20,0.05,4,1.0,1.0,1
17,0.08,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
2,0.07,1,0.0,0.0,1
20,0.06,1,0.0,0.0,1
22,0.1,4,1.0,1.0,1
11,0.06,4,1.0,1.0,1
118,0.01,2,0.0,0.0,1
1,0.08,4,1.0,1.0,1
15,0.07,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
67,0.04,2,0.0,0.0,1
4,0.07,4,1.0,1.0,1
3,0.06,4,1.0,1.0,1
12,0.06,4,1.0,1.0,1
18,0.05,4,1.0,1.0,1
118,0.0,2,0.0,0.0,1
1,0.32,5,0.0,0.0,1
15,0.07,1,0.0,0.0,1
27,0.02,2,0.0,0.0,1
183,0.0,2,0.0,0.0,1
51,0.11,4,1.0,1.0,1
7,0.06,4,1.0,1.0,1
10,0.07,1,0.0,0.0,1
10,0.09,4,1.0,1.0,1
19,0.06,3,0.0,0.0,1
16,0.0,2,0.0,0.0,1
18,0.05,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
11,0.07,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
2,0.73,5,0.0,0.0,1
27,0.0,2,0.0,0.0,1
2,0.15,5,0.0,0.0,1
18,0.06,4,1.0,1.0,1
129,0.0,2,0.0,0.0,1
2,0.66,5,0.0,0.0,1
219,0.01,2,0.0,0.0,1
11,0.07,4,1.0,1.0,1
25,0.05,4,1.0,1.0,1
12,0.06,4,1.0,1.0,1
13,0.07,4,1.0,1.0,1
20,0.07,4,1.0,1.0,1
4,0.09,4,1.0,1.0,1
3,0.08,4,1.0,1.0,1
10,0.08,4,1.0,1.0,1
17,0.07,1,0.0,0.0,1
1,0.52,1,0.0,0.0,1
7,0.07,4,1.0,1.0,1
14,0.08,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
54,0.04,4,1.0,1.0,1
15,0.08,4,1.0,1.0,1
1,0.68,1,0.0,0.0,1
2,0.06,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
129,0.0,2,0.0,0.0,1
1,0.33,1,0.0,0.01,1
6,0.07,4,1.0,1.0,1
2,0.07,1,0.0,0.0,1
17,0.08,4,1.0,1.0,1
1,0.15,5,0.0,0.0,1
4,0.05,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
9,0.05,4,1.0,1.0,1
63,0.02,4,1.0,1.0,1
214,0.02,2,0.0,0.0,1
9,0.07,4,1.0,1.0,1
2,0.09,4,1.0,1.0,1
9,0.09,4,1.0,1.0,1
4,0.09,4,1.0,1.0,1
98,0.01,2,0.0,0.0,1
18,0.02,2,0.0,0.0,1
6,0.07,1,0.0,0.0,1
27,0.05,4,1.0,1.0,1
21,0.05,4,1.0,1.0,1
21,0.05,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
10,0.08,4,1.0,1.0,1
17,0.0,2,0.0,0.0,1
9,0.06,4,1.0,1.0,1
10,0.07,4,1.0,1.0,1
10,0.05,4,1.0,1.0,1
14,0.07,4,1.0,1.0,1
3,0.06,4,1.0,1.0,1
2,0.08,4,1.0,1.0,1
16,0.06,1,0.0,0.0,1
1,0.13,1,0.0,0.0,1
1,0.77,5,0.0,0.0,1
169,0.0,2,0.0,0.0,1
1,0.05,4,1.0,1.0,1
13,0.06,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
80,0.0,2,0.0,0.0,1
1,0.51,5,0.0,0.0,1
1,0.07,4,1.0,1.0,1
1,0.81,1,0.0,0.06,1
2,0.14,5,0.0,0.0,1
18,0.06,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
1,0.25,1,0.0,0.0,1
255,0.0,2,0.0,0.0,1
1,0.07,4,1.0,1.0,1
21,0.05,4,1.0,1.0,1
51,0.02,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
11,0.06,4,1.0,1.0,1
23,0.06,4,1.0,1.0,1
8,0.12,4,1.0,1.0,1
18,0.09,1,0.0,0.0,1
153,0.0,2,0.0,0.0,1
57,0.02,4,1.0,1.0,1
3,0.06,4,1.0,1.0,1
1,0.06,4,1.0,1.0,1
14,0.07,4,1.0,1.0,1
3,0.07,4,1.0,1.0,1
12,0.07,1,0.0,0.0,1
8,0.09,4,1.0,1.0,1
3,0.08,1,0.0,0.0,1
16,0.07,3,0.0,0.0,1
11,0.12,4,1.0,1.0,1
62,0.02,4,1.0,1.0,1
11,0.07,3,0.0,0.0,1
16,0.06,1,0.0,0.0,1
9,0.06,4,1.0,1.0,1
24,0.05,4,1.0,1.0,1
30,0.0,2,0.0,0.0,1
15,0.06,1,0.0,0.0,1
9,0.08,4,1.0,1.0,1
1,1.0,4,1.0,0.17,1
5,0.08,3,0.0,0.0,1
22,0.06,4,1.0,1.0,1
15,0.08,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
250,0.01,2,0.0,0.0,1
15,0.06,4,1.0,1.0,1
7,0.09,4,1.0,1.0,1
139,0.0,2,0.0,0.0,1
20,0.07,4,1.0,1.0,1
7,0.08,4,1.0,1.0,1
2,0.73,5,0.0,0.0,1
6,0.05,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
13,0.08,4,1.0,1.0,1
19,0.06,4,1.0,1.0,1
5,0.08,1,0.0,0.0,1
13,0.07,4,1.0,1.0,1
17,0.07,4,1.0,1.0,1
2,0.05,4,1.0,1.0,1
1,0.09,4,1.0,1.0,1
3,0.24,4,1.0,1.0,1
8,0.08,4,1.0,1.0,1
1,0.89,5,0.0,0.0,1
4,0.07,4,1.0,1.0,1
134,0.01,2,0.0,0.0,1
1,1.0,1,0.0,0.05,1
54,0.0,2,0.0,0.0,1
73,0.0,2,0.0,0.0,1
3,0.11,3,0.67,0.79,1
9,0.05,4,1.0,1.0,1
4,0.08,4,1.0,1.0,1
16,0.07,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
2,0.08,4,1.0,1.0,1
29,0.05,1,0.0,0.0,1
2,0.12,3,0.0,0.0,1
166,0.1,2,0.0,0.0,1
3,0.07,3,0.0,0.0,1
20,0.05,4,1.0,1.0,1
19,0.07,4,1.0,1.0,1
18,0.07,1,0.0,0.0,1
37,0.06,4,1.0,1.0,1
14,0.08,4,1.0,1.0,1
3,0.07,4,1.0,1.0,1
4,0.06,4,1.0,1.0,1
1,0.48,5,0.0,0.0,1
12,0.05,4,1.0,1.0,1
14,0.05,2,0.0,0.0,1
15,0.06,4,1.0,1.0,1
25,0.05,4,1.0,1.0,1
6,0.05,4,1.0,1.0,1
11,0.05,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
62,0.0,2,0.0,0.0,1
16,0.07,4,1.0,1.0,1
68,0.0,2,0.0,0.0,1
4,0.09,4,1.0,1.0,1
2,1.0,1,0.0,0.0,1
6,0.05,4,1.0,1.0,1
106,0.0,2,0.0,0.0,1
23,0.05,4,1.0,1.0,1
4,0.05,4,1.0,1.0,1
75,0.0,2,0.0,0.0,1
20,0.07,1,0.0,0.0,1
92,0.02,2,0.0,0.0,1
1,1.0,1,0.0,0.05,1
18,0.07,4,1.0,1.0,1
6,0.07,4,1.0,1.0,1
29,0.0,2,0.0,0.0,1
126,0.02,2,0.0,0.0,1
8,0.09,4,1.0,1.0,1
166,0.02,2,0.0,0.0,1
4,0.08,4,1.0,1.0,1
72,0.02,4,1.0,1.0,1
13,0.06,3,0.0,0.0,1
20,0.0,2,0.0,0.0,1
83,0.02,2,0.0,0.0,1
7,0.07,4,1.0,1.0,1
8,0.08,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
1,1.0,1,0.0,0.08,1
2,0.05,4,1.0,1.0,1
79,0.0,2,0.0,0.0,1
2,0.5,5,0.0,0.0,1
9,0.07,4,1.0,1.0,1
1,0.0,2,0.0,0.0,1
1,0.49,1,0.0,0.13,1
15,0.07,4,1.0,1.0,1
1,0.07,4,1.0,1.0,1
3,0.08,4,1.0,1.0,1
10,0.06,1,0.0,0.0,1
19,0.07,4,1.0,1.0,1
4,0.06,4,1.0,1.0,1
20,0.07,4,1.0,1.0,1
1,0.49,5,0.0,0.0,1
129,0.0,2,0.0,0.0,1
12,0.06,1,0.0,0.0,1
143,0.44,2,0.0,0.0,1
15,0.08,4,1.0,1.0,1
22,0.05,4,1.0,1.0,1
5,0.06,4,1.0,1.0,1
6,0.07,4,1.0,1.0,1
106,0.0,2,0.0,0.0,1
63,0.02,4,1.0,1.0,1
1,0.08,4,1.0,1.0,1
75,0.0,2,0.0,0.0,1
7,0.07,4,1.0,1.0,1
22,0.06,2,0.0,0.0,1
2,0.22,2,0.0,0.0,1
255,0.0,2,0.0,0.0,1
19,0.07,4,1.0,1.0,1
14,0.07,1,0.0,0.0,1
8,0.07,4,1.0,1.0,1
16,0.08,4,1.0,1.0,1
191,0.0,2,0.0,0.0,1
11,0.07,1,0.0,0.0,1
19,0.08,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
120,0.0,2,0.0,0.0,1
13,0.07,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
1,0.52,1,0.0,0.01,1
1,0.65,1,0.0,0.0,1
15,0.08,4,1.0,1.0,1
20,0.06,4,1.0,1.0,1
10,0.08,4,1.0,1.0,1
2,0.09,4,1.0,1.0,1
16,0.06,4,1.0,1.0,1
57,0.02,4,1.0,1.0,1
9,0.78,2,0.0,0.0,1
10,0.07,1,0.0,0.0,1
247,0.0,2,0.0,0.0,1
1,0.08,4,1.0,1.0,1
67,0.02,4,1.0,1.0,1
1,0.74,6,1.0,1.0,1
117,0.0,2,0.0,0.0,1
22,0.06,4,1.0,1.0,1
2,0.23,5,0.0,0.0,1
1,0.07,1,0.0,0.0,1
6,0.06,4,1.0,1.0,1
14,0.08,4,1.0,1.0,1
14,0.07,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
15,0.05,4,1.0,1.0,1
6,0.06,4,1.0,1.0,1
3,0.09,4,1.0,1.0,1
18,0.06,4,1.0,0.95,1
64,0.02,4,1.0,1.0,1
12,0.08,2,0.0,0.0,1
11,0.05,4,1.0,1.0,1
98,0.01,2,0.0,0.01,1
10,0.08,4,1.0,1.0,1
2,0.06,4,1.0,1.0,1
9,0.07,3,0.0,0.0,1
1,0.08,4,1.0,1.0,1
77,0.0,2,0.0,0.0,1
42,0.0,2,0.0,0.0,1
19,0.07,4,1.0,1.0,1
27,0.06,4,1.0,1.0,1
61,0.0,2,0.0,0.0,1
1,0.67,5,0.0,0.0,1
2,0.25,2,0.0,0.0,1
158,0.0,2,0.0,0.0,1
29,0.05,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
6,0.07,1,0.0,0.0,1
17,0.07,4,1.0,1.0,1
9,0.08,4,1.0,1.0,1
34,0.05,2,0.0,0.0,1
14,0.05,4,1.0,1.0,1
58,0.0,2,0.0,0.0,1
4,0.07,4,1.0,1.0,1
153,0.01,2,0.0,0.0,1
5,0.07,3,0.0,0.0,1
22,0.07,1,0.0,0.0,1
4,0.22,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
14,0.07,1,0.0,0.0,1
1,1.0,1,0.0,0.09,1
5,0.05,4,1.0,1.0,1
1,0.05,4,1.0,1.0,1
15,0.05,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
226,0.0,2,0.0,0.0,1
8,0.06,3,0.0,0.0,1
19,0.08,4,1.0,1.0,1
5,0.07,4,1.0,1.0,1
1,0.07,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
7,0.06,4,1.0,1.0,1
15,0.0,2,0.0,0.0,1
3,0.07,4,1.0,1.0,1
1,0.1,2,0.0,0.0,1
190,0.0,2,0.0,0.0,1
8,0.07,1,0.0,0.0,1
16,0.06,4,1.0,1.0,1
1,1.0,1,0.0,0.0,1
13,0.08,1,0.0,0.0,1
38,0.02,2,0.0,0.0,1
19,0.05,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
13,0.05,4,1.0,1.0,1
29,0.05,4,1.0,1.0,1
7,0.08,1,0.0,0.0,1
223,0.0,2,0.0,0.0,1
2,0.55,2,0.0,0.0,1
11,0.05,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
1,0.06,4,1.0,1.0,1
2,0.36,3,0.5,0.64,1
255,0.0,2,0.0,0.0,1
12,0.07,4,1.0,1.0,1
19,0.05,4,1.0,1.0,1
3,0.08,4,1.0,1.0,1
2,0.37,5,0.0,0.0,1
5,0.06,1,0.0,0.0,1
1,1.0,1,0.0,0.0,1
10,0.07,1,0.0,0.0,1
1,1.0,1,0.0,0.1,1
11,0.07,4,1.0,1.0,1
1,0.36,1,0.0,0.01,1
1,0.67,1,0.0,0.07,1
194,0.0,2,0.0,0.0,1
27,0.07,4,1.0,1.0,1
125,0.02,2,0.0,0.0,1
7,0.23,2,0.0,0.0,1
12,0.08,4,1.0,1.0,1
14,0.06,4,1.0,1.0,1
5,0.07,3,0.0,0.0,1
10,0.07,4,1.0,0.93,1
7,0.07,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
175,0.0,2,0.0,0.0,1
17,0.04,2,0.0,0.0,1
42,0.84,2,0.0,0.7,1
1,0.07,4,1.0,1.0,1
3,0.06,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
3,0.05,4,1.0,1.0,1
20,0.06,1,0.0,0.0,1
6,0.18,2,0.0,0.0,1
20,0.07,4,1.0,1.0,1
3,0.06,4,1.0,1.0,1
1,0.08,4,1.0,1.0,1
8,0.07,4,1.0,1.0,1
6,0.06,4,1.0,1.0,1
2,0.08,1,0.0,0.0,1
11,0.06,4,1.0,1.0,1
18,0.06,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
8,0.08,4,1.0,1.0,1
1,1.0,1,0.0,0.07,1
9,0.09,3,0.0,0.0,1
14,0.07,4,1.0,1.0,1
80,0.13,2,0.0,0.0,1
1,1.0,1,0.0,0.18,1
12,0.09,4,1.0,1.0,1
14,0.06,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
20,0.05,4,1.0,1.0,1
81,0.02,2,0.0,0.0,1
7,0.07,4,1.0,1.0,1
2,0.06,4,1.0,1.0,1
13,0.05,4,1.0,1.0,1
6,0.06,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
7,0.07,3,0.0,0.0,1
80,0.0,2,0.0,0.0,1
5,0.06,4,1.0,1.0,1
8,0.06,4,1.0,1.0,1
18,0.07,3,0.0,0.0,1
5,0.05,4,1.0,1.0,1
2,0.5,5,0.0,0.0,1
2,0.09,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
19,0.06,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
14,0.07,4,1.0,1.0,1
2,0.07,4,1.0,1.0,1
112,0.0,2,0.0,0.0,1
16,0.05,4,1.0,1.0,1
8,0.08,4,1.0,1.0,1
7,0.05,4,1.0,1.0,1
1,0.07,4,1.0,1.0,1
12,0.09,1,0.0,0.0,1
5,0.07,4,1.0,1.0,1
29,0.06,4,1.0,1.0,1
3,0.08,1,0.0,0.0,1
14,0.06,4,1.0,1.0,1
12,0.06,4,1.0,1.0,1
197,0.0,2,0.0,0.0,1
27,0.26,2,0.0,0.0,1
235,0.0,2,0.0,0.0,1
20,0.07,4,1.0,1.0,1
19,0.06,4,1.0,1.0,1
2,0.08,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
20,0.07,4,1.0,1.0,1
