dst_host_srv_serror_rate,dst_host_serror_rate,serror_rate,srv_serror_rate,count,flag,same_srv_rate,dst_host_srv_count,dst_host_diff_srv_rate,Malicious
1,1,1,1,116,4,0.16,15,0.06,1
0.01,0.01,0,0,2,2,1,79,0,1
1,1,1,1,197,4,0.01,2,0.08,1
1,1,1,1,198,4,0.02,4,0.08,1
0,0,0,0,102,1,0.03,1,0.07,1
1,1,1,1,223,4,0.09,21,0.05,1
1,1,1,1,138,4,0.04,6,0.06,1
0,0,0,0,1,2,1,35,0,1
0,0,0,0,154,1,0.01,1,0.07,1
1,1,1,1,204,4,0.09,18,0.07,1
1,1,1,1,262,4,0.02,4,0.07,1
0,0.01,0,0,25,5,0.08,2,0.08,1
0,0.08,0.07,0,459,1,0.01,4,0.99,1
1,1,1,1,253,4,0,1,0.08,1
1,1,1,1,142,4,0.11,8,0.06,1
1,1,1,1,139,4,0.14,20,0.05,1
1,1,1,1,196,4,0.05,20,0.07,1
0,0,0,0,1,2,1,123,0.02,1
0,0,0,0,1,2,1,59,0,1
0,0,0,0,2,5,0.5,1,1,1
1,1,1,1,262,4,0.03,14,0.08,1
1,1,1,1,103,4,0.17,17,0.05,1
1,1,1,1,221,4,0.07,17,0.08,1
1,1,1,1,33,4,0.42,14,0.07,1
1,1,1,1,221,4,0.06,14,0.05,1
0,0,0,0,1,5,1,1,0.82,1
0,0,0,0,284,1,0.05,14,0.07,1
0,0.03,0,0,2,2,1,2,0.73,1
1,1,1,1,150,4,0.11,1,0.08,1
1,1,1,1,255,4,0.04,9,0.07,1
1,1,1,1,26,4,0.08,12,0.08,1
1,1,1,1,74,4,0.27,58,0.04,1
0.05,0.93,1,0.78,7,4,1,141,0.07,1
1,1,1,1,235,4,0.02,4,0.07,1
1,1,1,1,131,4,0.15,18,0.07,1
1,1,1,1,124,4,0.02,2,0.07,1
1,1,1,1,34,4,0.44,15,0.07,1
0,0,0,0,1,2,1,17,0,1
0,0,0,0,1,2,1,28,0,1
1,1,1,1,16,4,0.19,9,0.08,1
0,0,0,0,1,1,1,1,1,1
1,1,1,1,115,4,0.06,7,0.05,1
0,0,0,0,130,1,0.08,7,0.07,1
1,1,1,1,236,4,0.06,15,0.07,1
0,0,0,0,280,3,0.06,16,0.07,1
1,1,1,1,268,4,0.01,2,0.08,1
1,1,1,1,84,4,0.21,18,0.07,1
0,0,0,0,139,2,1,255,0,1
1,1,1,1,211,4,0.03,6,0.06,1
0,0,0,0,1,2,1,225,0,1
1,1,1,1,100,4,0.02,2,0.05,1
1,1,1,1,101,4,0.13,13,0.05,1
1,1,1,1,265,4,0.02,17,0.07,1
1,1,1,1,54,4,0.31,17,0.05,1
0,0,0,0,1,2,1,65,0.02,1
0,0,0,0,248,1,0.08,20,0.07,1
0,0,0,0,1,2,1,255,0,1
1,1,1,1,251,4,0.05,12,0.07,1
0,0,0,0,2,5,1,2,0.28,1
1,1,1,1,222,4,0.08,18,0.05,1
1,1,1,1,228,4,0.02,4,0.07,1
1,1,1,1,129,4,0.17,22,0.05,1
1,1,1,1,118,4,0.08,17,0.06,1
1,1,1,1,84,4,0.19,1,0.06,1
1,1,1,1,115,4,0.03,18,0.07,1
0,0,0,0,1,2,1,33,0,1
0,0,0,0,2,5,1,2,0.68,1
1,1,1,1,111,4,0.09,11,0.1,1
0,0,0,0,4,2,1,68,0,1
0,0,0,0,241,1,0.05,12,0.07,1
0,0,0,0,242,1,0,1,0.08,1
1,1,1,1,101,4,0.06,6,0.05,1
0,0,0,0,1,1,1,2,1,1
0,0,0,0,3,2,1,214,0,1
0,0,0,0,1,5,1,1,0.7,1
0,0,0,0,320,1,0,1,0.51,1
1,1,1,1,114,4,0.07,11,0.07,1
1,1,1,1,136,4,0.17,23,0.05,1
1,1,1,1,272,4,0.01,4,0.05,1
1,1,1,1,209,4,0.04,9,0.07,1
0,0,0,0,110,3,0.15,16,0.07,1
0,0,0,0,2,1,0.5,1,1,1
1,1,1,1,268,4,0.02,5,0.08,1
1,1,1,1,292,4,0.05,11,0.06,1
1,1,1,1,2,4,1,2,0.07,1
0,0,0,0,1,5,1,1,0.17,1
1,1,1,1,297,4,0.05,15,0.05,1
1,1,1,1,150,4,0.01,1,0.07,1
1,1,1,1,198,4,0.03,6,0.08,1
1,1,1,1,63,4,0.06,4,0.07,1
1,0.51,0.65,1,199,4,0.01,1,0.32,1
0,0,0,0,1,2,1,255,0,1
1,1,1,1,299,4,0.03,9,0.05,1
0,0.22,0.21,0,509,1,0,1,1,1
0,0,0,0,30,2,0.27,8,0.06,1
1,1,1,1,234,4,0,16,0.08,1
0,0,0,0,88,2,1,88,0.02,1
0,0,0,0,244,1,0.07,17,0.07,1
1,1,1,1,237,4,0.05,12,0.06,1
0,0,0,0,287,1,0.05,15,0.07,1
0,0,0,0,4,2,1,4,0,1
0.97,0.98,1,1,11,4,1,73,0.02,1
1,1,1,1,73,4,0.04,17,0.05,1
1,1,1,1,240,4,0.03,6,0.07,1
1,1,1,1,149,4,0.01,13,0.07,1
0.25,0.25,0,0,1,3,1,4,0,1
1,1,1,1,92,4,0.03,14,0.06,1
0,0.11,0,0,2,1,0.5,1,0.48,1
1,1,1,1,191,4,0.01,2,0.06,1
1,1,1,1,12,4,0.42,5,0.1,1
0,0,0,0,99,2,1,66,0.01,1
0,0,0,0,150,1,0.13,1,0.06,1
1,1,1,1,226,4,0.07,16,0.07,1
0,0.03,0.09,0,81,1,0.01,1,0.59,1
0,0,0,0,122,1,0.06,27,0.06,1
1,1,1,1,237,4,0.03,20,0.07,1
1,1,1,1,219,4,0.01,3,0.06,1
1,1,1,1,148,4,0.13,37,0.05,1
0,0,0,0,1,2,1,22,0,1
1,1,1,1,276,4,0.07,20,0.05,1
1,1,1,1,166,4,0.02,17,0.08,1
1,1,1,1,197,4,0.03,5,0.07,1
0,0,0,0,104,1,0.02,2,0.07,1
0,0,0,0,264,1,0.08,20,0.06,1
1,0.97,1,1,254,4,0.09,22,0.1,1
1,1,1,1,122,4,0.09,11,0.06,1
0,0,0,0,511,2,1,118,0.01,1
1,1,1,1,101,4,0.01,1,0.08,1
1,1,1,1,232,4,0.06,15,0.07,1
1,1,1,1,131,4,0.05,7,0.07,1
0,0.16,0,0,511,2,1,67,0.04,1
1,1,1,1,126,4,0.03,4,0.07,1
1,1,1,1,263,4,0.01,3,0.06,1
1,1,1,1,127,4,0.09,12,0.06,1
1,1,1,1,194,4,0.09,18,0.05,1
0,0,0,0,2,2,1,118,0,1
0,0.09,0,0,1,5,1,1,0.32,1
0,0,0,0,266,1,0.06,15,0.07,1
0,0,0,0,27,2,1,27,0.02,1
0,0,0,0,1,2,1,183,0,1
0.1,0.93,1,1,25,4,0.2,51,0.11,1
1,1,1,1,100,4,0.07,7,0.06,1
0,0,0,0,240,1,0.04,10,0.07,1
1,1,1,1,287,4,0.06,10,0.09,1
0,0,0,0,282,3,0.07,19,0.06,1
0,0,0,0,1,2,1,16,0,1
1,1,1,1,129,4,0.14,18,0.05,1
1,1,1,1,244,4,0.02,5,0.07,1
1,1,1,1,279,4,0.04,11,0.07,1
1,1,1,1,134,4,0.12,17,0.06,1
0,0,0,0,2,5,1,2,0.73,1
0,0,0,0,2,2,1,27,0,1
0,0.01,0,0,65,5,0.03,2,0.15,1
1,1,1,1,269,4,0.07,18,0.06,1
0,0,0,0,1,2,1,129,0,1
0,0,0,0,2,5,1,2,0.66,1
0,0,0,0,322,2,1,219,0.01,1
1,1,1,1,31,4,0.35,11,0.07,1
1,1,1,1,271,4,0.09,25,0.05,1
1,1,1,1,140,4,0.09,12,0.06,1
1,1,1,1,180,4,0.07,13,0.07,1
1,1,1,1,278,4,0.07,20,0.07,1
1,1,1,1,45,4,0.09,4,0.09,1
1,1,1,1,6,4,0.5,3,0.08,1
1,1,1,1,279,4,0.04,10,0.08,1
0,0,0,0,111,1,0.15,17,0.07,1
0,0,0,0,366,1,0,1,0.52,1
1,1,1,1,145,4,0.05,7,0.07,1
1,1,1,1,231,4,0.04,14,0.08,1
1,1,1,1,130,4,0.03,2,0.07,1
1,1,1,1,23,4,0.13,54,0.04,1
1,1,1,1,214,4,0.07,15,0.08,1
0,0,0,0,2,1,0.5,1,0.68,1
1,1,1,1,244,4,0.01,2,0.06,1
1,1,1,1,257,4,0.01,17,0.06,1
0,0,0,0,1,2,1,129,0,1
0,0,0.01,0,78,1,0.01,1,0.33,1
1,1,1,1,234,4,0.03,6,0.07,1
0,0,0,0,116,1,0.02,2,0.07,1
1,1,1,1,106,4,0.06,17,0.08,1
0,0.11,0,0,1,5,1,1,0.15,1
1,1,1,1,256,4,0.02,4,0.05,1
1,1,1,1,286,4,0.05,5,0.07,1
1,1,1,1,233,4,0.03,9,0.05,1
1,1,1,1,29,4,0.52,63,0.02,1
0,0,0,0,17,2,1,214,0.02,1
1,1,1,1,108,4,0.17,9,0.07,1
1,1,1,1,102,4,0.02,2,0.09,1
1,1,1,1,229,4,0.04,9,0.09,1
1,1,1,1,239,4,0.05,4,0.09,1
0,0,0,0,511,2,1,98,0.01,1
0,0,0,0,18,2,1,18,0.02,1
0,0,0,0,258,1,0.02,6,0.07,1
1,1,1,1,105,4,0.05,27,0.05,1
1,1,1,1,145,4,0.14,21,0.05,1
1,1,1,1,123,4,0.17,21,0.05,1
1,1,1,1,9,4,0.22,2,0.07,1
1,1,1,1,45,4,0.04,10,0.08,1
0,0,0,0,1,2,1,17,0,1
1,1,1,1,265,4,0.03,9,0.06,1
1,1,1,1,255,4,0.03,10,0.07,1
1,1,1,1,104,4,0.1,10,0.05,1
1,1,1,1,150,4,0.13,14,0.07,1
1,1,1,1,232,4,0.01,3,0.06,1
1,1,1,1,217,4,0.01,2,0.08,1
0,0,0,0,66,1,0.02,16,0.06,1
0,0,0,0,1,1,1,1,0.13,1
0,0.03,0,0,1,5,1,1,0.77,1
0,0,0,0,1,2,1,169,0,1
1,1,1,1,195,4,0.01,1,0.05,1
1,1,1,1,232,4,0.06,13,0.06,1
0,0,0,0,65,2,1,255,0,1
0,0,0,0,1,2,1,80,0,1
0,0,0,0,1,5,1,1,0.51,1
1,1,1,1,120,4,0.02,1,0.07,1
0,0.05,0.06,0,204,1,0,1,0.81,1
0,0,0,0,63,5,0.03,2,0.14,1
1,1,1,1,262,4,0.07,18,0.06,1
1,1,1,1,146,4,0.11,4,0.07,1
0,0,0,0,2,1,0.5,1,0.25,1
0,0,0,0,261,2,1,255,0,1
1,1,1,1,242,4,0,1,0.07,1
1,1,1,1,213,4,0.1,21,0.05,1
1,1,1,1,50,4,0.22,51,0.02,1
0,0,0,0,1,2,1,255,0,1
1,1,1,1,170,4,0.06,11,0.06,1
1,1,1,1,252,4,0.09,23,0.06,1
1,1,1,1,126,4,0.12,8,0.12,1
0,0,0,0,269,1,0.07,18,0.09,1
0,0,0,0,1,2,1,153,0,1
0.96,0.99,1,1,61,4,0.25,57,0.02,1
1,1,1,1,281,4,0.01,3,0.06,1
1,1,1,1,240,4,0,1,0.06,1
1,1,1,1,260,4,0.03,14,0.07,1
1,1,1,1,275,4,0.01,3,0.07,1
0,0,0,0,116,1,0.1,12,0.07,1
1,1,1,1,164,4,0.04,8,0.09,1
0,0,0,0,194,1,0.02,3,0.08,1
0,0,0,0,121,3,0.13,16,0.07,1
1,0.92,1,1,220,4,0.05,11,0.12,1
1,1,1,1,29,4,0.07,62,0.02,1
0,0,0,0,229,3,0.05,11,0.07,1
0,0,0,0,118,1,0.14,16,0.06,1
1,1,1,1,240,4,0.04,9,0.06,1
0.75,1,1,1,18,4,1,24,0.05,1
0,0,0,0,434,2,1,30,0,1
0,0,0,0,144,1,0.1,15,0.06,1
1,0.98,1,1,258,4,0.03,9,0.08,1
1,0.2,0.17,1,511,4,0,1,1,1
0,0,0,0,111,3,0.05,5,0.08,1
1,1,1,1,228,4,0.1,22,0.06,1
1,1,1,1,282,4,0.06,15,0.08,1
0,0,0,0,282,2,1,255,0,1
0,0,0,0,250,2,1,250,0.01,1
1,1,1,1,75,4,0.08,15,0.06,1
1,1,1,1,262,4,0.03,7,0.09,1
0,0,0,0,1,2,1,139,0,1
1,1,1,1,206,4,0.09,20,0.07,1
1,1,1,1,270,4,0.03,7,0.08,1
0,0,0,0,2,5,1,2,0.73,1
1,1,1,1,239,4,0.03,6,0.05,1
1,1,1,1,229,4,0.03,7,0.07,1
1,1,1,1,113,4,0.06,7,0.07,1
1,1,1,1,279,4,0.06,5,0.07,1
1,1,1,1,233,4,0.06,13,0.08,1
1,1,1,1,207,4,0.03,19,0.06,1
0,0,0,0,112,1,0.04,5,0.08,1
1,1,1,1,210,4,0.06,13,0.07,1
1,1,1,1,255,4,0.06,17,0.07,1
1,1,1,1,102,4,0.02,2,0.05,1
1,1,1,1,4,4,0.25,1,0.09,1
1,0.33,1,1,175,4,0.02,3,0.24,1
1,1,1,1,118,4,0.11,8,0.08,1
0,0,0,0,1,5,1,1,0.89,1
1,1,1,1,206,4,0.02,4,0.07,1
0,0,0,0,134,2,1,134,0.01,1
0,0.08,0.05,0,432,1,0,1,1,1
0.02,0,0,0,1,2,1,54,0,1
0,0,0,0,1,2,1,73,0,1
0.67,0.22,0.79,0.67,72,3,0.04,3,0.11,1
1,1,1,1,144,4,0.06,9,0.05,1
1,1,1,1,253,4,0.07,4,0.08,1
1,1,1,1,247,4,0.06,16,0.07,1
1,1,1,1,282,4,0.06,17,0.06,1
1,1,1,1,89,4,0.19,2,0.08,1
0,0,0,0,144,1,0.1,29,0.05,1
0,0,0,0,1,3,1,2,0.12,1
0.01,0,0,0,8,2,0.12,166,0.1,1
0,0,0,0,258,3,0.01,3,0.07,1
1,1,1,1,101,4,0.18,20,0.05,1
1,1,1,1,284,4,0.07,19,0.07,1
0,0,0,0,104,1,0.17,18,0.07,1
1,1,1,1,67,4,0.25,37,0.06,1
1,1,1,1,291,4,0.05,14,0.08,1
1,1,1,1,114,4,0.13,3,0.07,1
1,1,1,1,116,4,0.02,4,0.06,1
0,0,0,0,1,5,1,1,0.48,1
1,1,1,1,9,4,0.56,12,0.05,1
0,0.02,0,0,1,2,1,14,0.05,1
1,1,1,1,235,4,0.06,15,0.06,1
1,1,1,1,179,4,0.14,25,0.05,1
1,1,1,1,272,4,0.02,6,0.05,1
1,1,1,1,248,4,0.04,11,0.05,1
1,1,1,1,9,4,1,9,0.07,1
0,0,0,0,1,2,1,62,0,1
1,1,1,1,126,4,0.13,16,0.07,1
0,0,0,0,1,2,1,68,0,1
1,1,1,1,150,4,0.13,4,0.09,1
0,0,0,0,1,1,1,2,1,1
1,1,1,1,114,4,0.05,6,0.05,1
0,0,0,0,1,2,1,106,0,1
1,1,1,1,279,4,0.08,23,0.05,1
1,1,1,1,239,4,0.02,4,0.05,1
0,0,0,0,1,2,1,75,0,1
0,0,0,0,277,1,0.07,20,0.07,1
0,0,0,0,92,2,1,92,0.02,1
0,0.04,0.05,0,511,1,0,1,1,1
1,1,1,1,123,4,0.15,18,0.07,1
1,1,1,1,273,4,0.02,6,0.07,1
0,0,0,0,1,2,1,29,0,1
0,0.02,0,0,511,2,1,126,0.02,1
1,1,1,1,171,4,0.05,8,0.09,1
0,0,0,0,511,2,1,166,0.02,1
1,1,1,1,26,4,0.15,4,0.08,1
1,1,1,1,36,4,0.33,72,0.02,1
0,0,0,0,149,3,0.13,13,0.06,1
0,0,0,0,2,2,1,20,0,1
0,0,0,0,1,2,1,83,0.02,1
1,1,1,1,167,4,0.12,7,0.07,1
1,1,1,1,260,4,0.03,8,0.08,1
1,1,1,1,237,4,0.08,17,0.06,1
0,0.08,0.08,0,269,1,0,1,1,1
1,1,1,1,115,4,0.02,2,0.05,1
0,0,0,0,1,2,1,79,0,1
0,0,0,0,2,5,1,2,0.5,1
1,1,1,1,288,4,0.04,9,0.07,1
0,0,0,0,1,2,1,1,0,1
0,0.03,0.13,0,55,1,0.02,1,0.49,1
1,1,1,1,275,4,0.07,15,0.07,1
1,1,1,1,239,4,0.02,1,0.07,1
1,1,1,1,285,4,0.05,3,0.08,1
0,0,0,0,111,1,0.09,10,0.06,1
1,1,1,1,239,4,0.08,19,0.07,1
1,1,1,1,288,4,0.03,4,0.06,1
1,1,1,1,150,4,0.13,20,0.07,1
0,0,0,0,1,5,1,1,0.49,1
0,0,0,0,1,2,1,129,0,1
0,0,0,0,150,1,0.13,12,0.06,1
0,0.09,0,0,43,2,1,143,0.44,1
1,1,1,1,272,4,0.06,15,0.08,1
1,1,1,1,269,4,0.08,22,0.05,1
1,1,1,1,86,4,0.06,5,0.06,1
1,1,1,1,189,4,0.08,6,0.07,1
0,0,0,0,1,2,1,106,0,1
1,1,1,1,29,4,0.24,63,0.02,1
1,1,1,1,253,4,0,1,0.08,1
0,0,0,0,1,2,1,75,0,1
1,1,1,1,147,4,0.12,7,0.07,1
0,0.02,0,0,511,2,1,22,0.06,1
0,0,0,0,26,2,0.08,2,0.22,1
0,0,0,0,435,2,1,255,0,1
1,1,1,1,115,4,0.02,19,0.07,1
0,0,0,0,226,1,0.06,14,0.07,1
1,1,1,1,107,4,0.23,8,0.07,1
1,1,1,1,276,4,0.06,16,0.08,1
0,0,0,0,441,2,1,191,0,1
0,0,0,0,281,1,0.04,11,0.07,1
1,1,1,1,242,4,0.08,19,0.08,1
1,1,1,1,257,4,0.02,5,0.07,1
0,0,0,0,1,2,1,120,0,1
